treatment,vial,flip,pupae per female,experiment
9,5,5,12.125,GF_gnoto
9,5,6,9,GF_gnoto
9,5,7,4.714285714,GF_gnoto
9,5,8,7.857142857,GF_gnoto
9,5,9,9.8,GF_gnoto
9,5,10,1,GF_gnoto
21,1,0,11.5,GF_gnoto
21,1,1,10.9,GF_gnoto
21,1,2,9.8,GF_gnoto
21,1,3,12,GF_gnoto
21,1,4,13.75,GF_gnoto
21,1,5,12.75,GF_gnoto
21,1,6,10.42857143,GF_gnoto
21,1,7,3.142857143,GF_gnoto
21,1,8,3.857142857,GF_gnoto
21,1,9,0.333333333,GF_gnoto
21,1,10,0.166666667,GF_gnoto
21,2,0,18,GF_gnoto
21,2,1,18.8,GF_gnoto
21,2,2,16.9,GF_gnoto
21,2,3,12.44444444,GF_gnoto
21,2,4,15.44444444,GF_gnoto
21,2,5,12,GF_gnoto
21,2,6,4.444444444,GF_gnoto
21,2,7,2.777777778,GF_gnoto
21,2,8,1,GF_gnoto
21,2,9,1.714285714,GF_gnoto
21,2,10,0.6,GF_gnoto
21,3,0,11.7,GF_gnoto
21,3,1,10.5,GF_gnoto
21,3,2,11.3,GF_gnoto
21,3,3,9.8,GF_gnoto
21,3,4,5.777777778,GF_gnoto
21,3,5,7.444444444,GF_gnoto
21,3,6,6.111111111,GF_gnoto
21,3,7,2.777777778,GF_gnoto
21,3,8,7.285714286,GF_gnoto
21,3,9,10.66666667,GF_gnoto
21,3,10,1.8,GF_gnoto
21,4,0,14.3,GF_gnoto
21,4,1,14.33333333,GF_gnoto
21,4,2,10,GF_gnoto
21,4,3,8.875,GF_gnoto
21,4,4,7.142857143,GF_gnoto
21,4,5,8,GF_gnoto
21,4,6,5.666666667,GF_gnoto
21,4,7,2.166666667,GF_gnoto
21,4,8,5.5,GF_gnoto
21,4,9,4,GF_gnoto
21,4,10,2,GF_gnoto
21,5,0,16.1,GF_gnoto
21,5,1,10.1,GF_gnoto
21,5,2,9.8,GF_gnoto
21,5,3,9.555555556,GF_gnoto
21,5,4,5.222222222,GF_gnoto
21,5,5,5.555555556,GF_gnoto
21,5,6,5.222222222,GF_gnoto
21,5,7,2.666666667,GF_gnoto
21,5,8,9.25,GF_gnoto
21,5,9,14.66666667,GF_gnoto
21,5,10,8.25,GF_gnoto
28,1,0,17.5,GF_gnoto
28,1,1,14.7,GF_gnoto
28,1,2,15.6,GF_gnoto
28,1,3,12.5,GF_gnoto
28,1,4,10.2,GF_gnoto
28,1,5,11,GF_gnoto
28,1,6,7.666666667,GF_gnoto
28,1,7,5,GF_gnoto
28,1,8,4.875,GF_gnoto
28,1,9,8.5,GF_gnoto
28,1,10,6.285714286,GF_gnoto
28,2,0,11.5,GF_gnoto
28,2,1,12,GF_gnoto
28,2,2,15.3,GF_gnoto
28,2,3,8.4,GF_gnoto
28,2,4,10.88888889,GF_gnoto
28,2,5,11.22222222,GF_gnoto
28,2,6,7.166666667,GF_gnoto
28,2,7,3.833333333,GF_gnoto
28,2,8,3.5,GF_gnoto
28,2,9,7,GF_gnoto
28,2,10,4.333333333,GF_gnoto
28,3,0,10.9,GF_gnoto
28,3,1,16.1,GF_gnoto
28,3,2,15.9,GF_gnoto
28,3,3,9.2,GF_gnoto
28,3,4,12.44444444,GF_gnoto
28,3,5,10.44444444,GF_gnoto
28,3,6,8.111111111,GF_gnoto
28,3,7,3.777777778,GF_gnoto
28,3,8,3.777777778,GF_gnoto
28,3,9,1.444444444,GF_gnoto
28,3,10,0,GF_gnoto
28,4,0,14.6,GF_gnoto
28,4,1,16.4,GF_gnoto
28,4,2,15.2,GF_gnoto
28,4,3,11.33333333,GF_gnoto
28,4,4,13,GF_gnoto
28,4,5,12.625,GF_gnoto
28,4,6,5.375,GF_gnoto
28,4,7,1.875,GF_gnoto
28,4,8,4.375,GF_gnoto
28,4,9,1.833333333,GF_gnoto
28,4,10,0,GF_gnoto
28,5,0,11.6,GF_gnoto
28,5,1,13,GF_gnoto
28,5,2,15.7,GF_gnoto
28,5,3,8.8,GF_gnoto
28,5,4,11.2,GF_gnoto
28,5,5,10.8,GF_gnoto
28,5,6,9.7,GF_gnoto
28,5,7,4.9,GF_gnoto
28,5,8,5,GF_gnoto
28,5,9,10.83333333,GF_gnoto
28,5,10,2,GF_gnoto
32,1,0,10,GF_gnoto
32,1,1,8.3,GF_gnoto
32,1,2,9.1,GF_gnoto
32,1,3,9.6,GF_gnoto
32,1,4,6,GF_gnoto
32,1,5,7.2,GF_gnoto
32,1,6,4,GF_gnoto
32,1,7,2.444444444,GF_gnoto
32,1,8,1.333333333,GF_gnoto
32,1,9,0.444444444,GF_gnoto
32,1,10,0.125,GF_gnoto
32,2,0,10.7,GF_gnoto
32,2,1,12.1,GF_gnoto
32,2,2,13.8,GF_gnoto
32,2,3,9.7,GF_gnoto
32,2,4,6,GF_gnoto
32,2,5,8.888888889,GF_gnoto
32,2,6,5.111111111,GF_gnoto
32,2,7,2.333333333,GF_gnoto
32,2,8,2.25,GF_gnoto
32,2,9,1.5,GF_gnoto
32,2,10,0.666666667,GF_gnoto
32,3,0,12.3,GF_gnoto
32,3,1,11.8,GF_gnoto
32,3,2,14.1,GF_gnoto
32,3,3,11.55555556,GF_gnoto
32,3,4,12.88888889,GF_gnoto
32,3,5,13.44444444,GF_gnoto
32,3,6,7.444444444,GF_gnoto
32,3,7,1.444444444,GF_gnoto
32,3,8,2.111111111,GF_gnoto
32,3,9,0,GF_gnoto
32,3,10,0,GF_gnoto
32,4,0,14.1,GF_gnoto
32,4,1,14.6,GF_gnoto
32,4,2,14.9,GF_gnoto
32,4,3,8.8,GF_gnoto
32,4,4,8.666666667,GF_gnoto
32,4,5,10.22222222,GF_gnoto
32,4,6,5.75,GF_gnoto
32,4,7,3,GF_gnoto
32,4,8,1.571428571,GF_gnoto
32,4,9,2.333333333,GF_gnoto
32,4,10,3.166666667,GF_gnoto
32,5,0,12.4,GF_gnoto
32,5,1,10.6,GF_gnoto
32,5,2,7.5,GF_gnoto
32,5,3,10.42857143,GF_gnoto
32,5,4,4.571428571,GF_gnoto
32,5,5,7.571428571,GF_gnoto
32,5,6,4.285714286,GF_gnoto
32,5,7,1.428571429,GF_gnoto
32,5,8,2.333333333,GF_gnoto
32,5,9,2.4,GF_gnoto
32,5,10,2.2,GF_gnoto
5,1,1,22.6,standard
5,1,2,21.2,standard
5,1,3,18.2,standard
5,1,4,21.89,standard
5,1,5,19.63,standard
5,1,6,13.5,standard
5,1,7,9,standard
5,1,8,11,standard
5,1,9,1.86,standard
5,1,10,0,standard
5,1,11,0,standard
5,1,12,0,standard
5,1,13,0,standard
5,2,1,20.8,standard
5,2,2,16.5,standard
5,2,3,16.6,standard
5,2,4,15.2,standard
5,2,5,13.89,standard
5,2,6,11.56,standard
5,2,7,12.22,standard
5,2,8,14.22,standard
5,2,9,8.13,standard
5,2,10,1.25,standard
5,2,11,0.71,standard
5,2,12,0,standard
5,2,13,0,standard
5,3,1,23,standard
5,3,2,17.9,standard
5,3,3,16.3,standard
5,3,4,17.7,standard
5,3,5,15.5,standard
5,3,6,14.6,standard
5,3,7,12.7,standard
5,3,8,12.6,standard
5,3,9,6.89,standard
5,3,10,2.56,standard
5,3,11,0.56,standard
5,3,12,0,standard
5,3,13,0,standard
5,4,1,2.56,standard
5,4,2,12,standard
5,4,3,18.89,standard
5,4,4,17,standard
5,4,5,17.67,standard
5,4,6,20,standard
5,4,7,20.33,standard
5,4,8,16.78,standard
5,4,9,17.44,standard
5,4,10,14.75,standard
5,4,11,15.13,standard
5,4,12,7.43,standard
5,4,13,1.33,standard
5,5,1,10.5,standard
5,5,2,18,standard
5,5,3,17.44,standard
5,5,4,20.88,standard
5,5,5,25.75,standard
5,5,6,24,standard
5,5,7,30.71,standard
5,5,8,22.43,standard
5,5,9,23.43,standard
5,5,10,13,standard
5,5,11,12.67,standard
5,5,12,4,standard
5,5,13,0.5,standard
9,1,1,19.3,standard
9,1,2,20.7,standard
9,1,3,14.8,standard
9,1,4,13.5,standard
9,1,5,12.7,standard
9,1,6,13.4,standard
9,1,7,13.5,standard
9,1,8,8.38,standard
9,1,9,3,standard
9,1,10,1.33,standard
9,1,11,0,standard
9,1,12,0,standard
9,1,13,0,standard
9,2,1,20.1,standard
9,2,2,21.4,standard
9,2,3,17.5,standard
9,2,4,18.7,standard
9,2,5,19.3,standard
9,2,6,18.78,standard
9,2,7,15.86,standard
9,2,8,9,standard
9,2,9,4.17,standard
9,2,10,2.17,standard
9,2,11,0,standard
9,2,12,0,standard
9,2,13,0,standard
9,3,1,24.8,standard
9,3,2,22.7,standard
9,3,3,17.8,standard
9,3,4,15.8,standard
9,3,5,11.5,standard
9,3,6,10.44,standard
9,3,7,8.5,standard
9,3,8,4,standard
9,3,9,0.5,standard
9,3,10,0,standard
9,3,11,0,standard
9,3,12,0,standard
9,3,13,0,standard
9,4,1,4.3,standard
9,4,2,12.1,standard
9,4,3,17.7,standard
9,4,4,15.9,standard
9,4,5,24.2,standard
9,4,6,19.7,standard
9,4,7,15.8,standard
9,4,8,16.6,standard
9,4,9,17.6,standard
9,4,10,10.78,standard
9,4,11,8.56,standard
9,4,12,9.38,standard
9,4,13,4.25,standard
9,5,1,10.4,standard
9,5,2,17.1,standard
9,5,3,20.2,standard
9,5,4,18.5,standard
9,5,5,21.89,standard
9,5,6,19.89,standard
9,5,7,20.56,standard
9,5,8,21.56,standard
9,5,9,28.14,standard
9,5,10,14.2,standard
9,5,11,10.6,standard
9,5,12,10.2,standard
9,5,13,3.5,standard
15,1,1,22.9,standard
15,1,2,21.1,standard
15,1,3,15.9,standard
15,1,4,17.89,standard
15,1,5,13.33,standard
15,1,6,13.78,standard
15,1,7,11.33,standard
15,1,8,10.89,standard
15,1,9,4.89,standard
15,1,10,0.56,standard
15,1,11,0.17,standard
15,1,12,0,standard
15,1,13,0,standard
15,2,1,14.5,standard
15,2,2,17.2,standard
15,2,3,18.2,standard
15,2,4,16.6,standard
15,2,5,13,standard
15,2,6,11.5,standard
15,2,7,9.7,standard
15,2,8,12.33,standard
15,2,9,8.75,standard
15,2,10,2.83,standard
15,2,11,0.5,standard
15,2,12,0,standard
15,2,13,0,standard
15,3,1,18.3,standard
15,3,2,18.4,standard
15,3,3,17.9,standard
15,3,4,17.4,standard
15,3,5,16.1,standard
15,3,6,13.8,standard
15,3,7,9.7,standard
15,3,8,11.13,standard
15,3,9,4,standard
15,3,10,3.43,standard
15,3,11,1.71,standard
15,3,12,1.29,standard
15,3,13,0,standard
15,4,1,3.11,standard
15,4,2,10.22,standard
15,4,3,17.89,standard
15,4,4,14.11,standard
15,4,5,28,standard
15,4,6,23,standard
15,4,7,22.67,standard
15,4,8,15.22,standard
15,4,9,13.44,standard
15,4,10,6.33,standard
15,4,11,9.56,standard
15,4,12,6.89,standard
15,4,13,1.75,standard
15,5,1,10.6,standard
15,5,2,17.5,standard
15,5,3,19.44,standard
15,5,4,13.63,standard
15,5,5,27.5,standard
15,5,6,24.17,standard
15,5,7,29.17,standard
15,5,8,21.17,standard
15,5,9,24.5,standard
15,5,10,10.75,standard
15,5,11,15.5,standard
15,5,12,2.75,standard
15,5,13,0,standard
18,1,1,16.3,standard
18,1,2,18.4,standard
18,1,3,14.1,standard
18,1,4,12,standard
18,1,5,10.9,standard
18,1,6,11.11,standard
18,1,7,10.67,standard
18,1,8,8.5,standard
18,1,9,3.88,standard
18,1,10,1.25,standard
18,1,11,0,standard
18,1,12,0,standard
18,1,13,0,standard
18,2,1,21.8,standard
18,2,2,18,standard
18,2,3,15.3,standard
18,2,4,14,standard
18,2,5,9.4,standard
18,2,6,9.5,standard
18,2,7,9.11,standard
18,2,8,9.88,standard
18,2,9,0.63,standard
18,2,10,0.2,standard
18,2,11,0,standard
18,2,12,0,standard
18,2,13,0,standard
18,3,1,16.1,standard
18,3,2,20.7,standard
18,3,3,19,standard
18,3,4,16.6,standard
18,3,5,15.8,standard
18,3,6,16.6,standard
18,3,7,17.44,standard
18,3,8,18.13,standard
18,3,9,13.75,standard
18,3,10,7.5,standard
18,3,11,4.13,standard
18,3,12,1.25,standard
18,3,13,1.13,standard
18,4,1,2.7,standard
18,4,2,9.44,standard
18,4,3,13.22,standard
18,4,4,7.5,standard
18,4,5,5.25,standard
18,4,6,0.5,standard
18,4,7,0,standard
18,4,8,0,standard
18,4,9,0,standard
18,4,10,0,standard
18,4,11,0,standard
18,4,12,0,standard
18,4,13,0,standard
18,5,1,14.1,standard
18,5,2,14.6,standard
18,5,3,17.8,standard
18,5,4,16.44,standard
18,5,5,23.25,standard
18,5,6,24.75,standard
18,5,7,18.88,standard
18,5,8,16,standard
18,5,9,27,standard
18,5,10,23.14,standard
18,5,11,16.14,standard
18,5,12,2.17,standard
18,5,13,5.4,standard
21,1,1,19.6,standard
21,1,2,19.9,standard
21,1,3,17.8,standard
21,1,4,17.2,standard
21,1,5,15.4,standard
21,1,6,12.89,standard
21,1,7,8.89,standard
21,1,8,4.14,standard
21,1,9,0.17,standard
21,1,10,0,standard
21,1,11,0,standard
21,1,12,0,standard
21,1,13,0,standard
21,2,1,22.7,standard
21,2,2,19.5,standard
21,2,3,19.8,standard
21,2,4,17.2,standard
21,2,5,16,standard
21,2,6,9.5,standard
21,2,7,7,standard
21,2,8,6.8,standard
21,2,9,3.56,standard
21,2,10,0.11,standard
21,2,11,0.14,standard
21,2,12,0,standard
21,2,13,0,standard
21,3,1,17.2,standard
21,3,2,17.4,standard
21,3,3,14.7,standard
21,3,4,12.2,standard
21,3,5,10.8,standard
21,3,6,8.4,standard
21,3,7,9.9,standard
21,3,8,13.4,standard
21,3,9,7.7,standard
21,3,10,2.2,standard
21,3,11,0.33,standard
21,3,12,0,standard
21,3,13,0,standard
21,4,1,11.5,standard
21,4,2,16.6,standard
21,4,3,18.3,standard
21,4,4,9.4,standard
21,4,5,26.13,standard
21,4,6,22.29,standard
21,4,7,28.14,standard
21,4,8,16,standard
21,4,9,10.67,standard
21,4,10,4,standard
21,4,11,0.33,standard
21,4,12,0.33,standard
21,4,13,0,standard
21,5,1,12.3,standard
21,5,2,15.6,standard
21,5,3,17.4,standard
21,5,4,11,standard
21,5,5,24.2,standard
21,5,6,26.5,standard
21,5,7,24.5,standard
21,5,8,11.38,standard
21,5,9,8.57,standard
21,5,10,4.75,standard
21,5,11,41,standard
21,5,12,15,standard
21,5,13,0,standard
28,1,1,20.6,standard
28,1,2,22.2,standard
28,1,3,23.3,standard
28,1,4,23.3,standard
28,1,5,19.4,standard
28,1,6,14.33,standard
28,1,7,13.56,standard
28,1,8,16.13,standard
28,1,9,9.14,standard
28,1,10,3,standard
28,1,11,4,standard
28,1,12,0,standard
28,1,13,0,standard
28,2,1,23.8,standard
28,2,2,22.1,standard
28,2,3,18.6,standard
28,2,4,17.6,standard
28,2,5,14.9,standard
28,2,6,12.5,standard
28,2,7,15.2,standard
28,2,8,14.3,standard
28,2,9,10,standard
28,2,10,3.2,standard
28,2,11,1.9,standard
28,2,12,0.67,standard
28,2,13,0,standard
28,3,1,9.9,standard
28,3,2,12.7,standard
28,3,3,14,standard
28,3,4,15.1,standard
28,3,5,14.9,standard
28,3,6,11.3,standard
28,3,7,15.1,standard
28,3,8,12.4,standard
28,3,9,8.4,standard
28,3,10,4.7,standard
28,3,11,1,standard
28,3,12,0,standard
28,3,13,0,standard
28,4,1,14.5,standard
28,4,2,17.1,standard
28,4,3,13.5,standard
28,4,4,15.22,standard
28,4,5,25,standard
28,4,6,21.22,standard
28,4,7,17.44,standard
28,4,8,15,standard
28,4,9,23.25,standard
28,4,10,8.13,standard
28,4,11,5.17,standard
28,4,12,4,standard
28,4,13,1.25,standard
28,5,1,10.7,standard
28,5,2,18,standard
28,5,3,19.5,standard
28,5,4,8.9,standard
28,5,5,25.8,standard
28,5,6,19,standard
28,5,7,15.8,standard
28,5,8,11.4,standard
28,5,9,19.5,standard
28,5,10,6.5,standard
28,5,11,4.5,standard
28,5,12,1.44,standard
28,5,13,0.17,standard
29,1,1,23.6,standard
29,1,2,17.8,standard
29,1,3,14.6,standard
29,1,4,12.3,standard
