"x","y","rho","n_complete","feature_x","feature_y","system","panel"
6,4,0.814411975774993,104,"direct_joint_prevalence","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
7,4,0.877409785781533,104,"direct_presence_jaccard","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
8,4,-0.0335922580510194,104,"presence_phi_abs","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
9,4,-0.155532273666752,104,"presence_log_odds_abs","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
10,4,-0.180681001178197,104,"spearman_all_abs","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
11,4,-0.376105477039347,103,"spearman_copresent_abs","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
12,4,0.528272697019023,104,"log_ratio_variance","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
13,4,-0.112847903103257,104,"abundance_contrast_min","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
14,4,-0.189064325191568,104,"abundance_contrast_max","direct_prevalence_min","Butyrate","Butyrate
104 tested pairs"
1,5,-0.321570052093075,104,"pln_score_percentile","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
2,5,0.463697249908692,104,"glmnet_score_percentile","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
3,5,-0.0860545171483664,104,"sparcc_score_percentile","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
4,5,0.314898530292413,104,"direct_prevalence_min","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
5,5,1,104,"direct_prevalence_max","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
6,5,0.736000843048884,104,"direct_joint_prevalence","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
7,5,0.57570530766479,104,"direct_presence_jaccard","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
8,5,-0.111274583893098,104,"presence_phi_abs","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
9,5,-0.125156397291199,104,"presence_log_odds_abs","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
10,5,-0.117117992983824,104,"spearman_all_abs","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
11,5,-0.477785625118568,103,"spearman_copresent_abs","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
12,5,0.691971508300372,104,"log_ratio_variance","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
13,5,-0.00511569829318195,104,"abundance_contrast_min","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
14,5,-0.0641417330581444,104,"abundance_contrast_max","direct_prevalence_max","Butyrate","Butyrate
104 tested pairs"
1,6,-0.342340151917956,104,"pln_score_percentile","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
2,6,0.475634568068413,104,"glmnet_score_percentile","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
3,6,-0.15219838713556,104,"sparcc_score_percentile","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
4,6,0.814411975774993,104,"direct_prevalence_min","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
5,6,0.736000843048884,104,"direct_prevalence_max","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
6,6,1,104,"direct_joint_prevalence","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
7,6,0.958824966258127,104,"direct_presence_jaccard","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
8,6,-0.0138876293235834,104,"presence_phi_abs","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
9,6,-0.120678755755214,104,"presence_log_odds_abs","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
10,6,-0.120848517790429,104,"spearman_all_abs","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
11,6,-0.491841369226302,103,"spearman_copresent_abs","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
12,6,0.775914601531839,104,"log_ratio_variance","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
13,6,-0.0348284457258364,104,"abundance_contrast_min","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
14,6,-0.123564154872912,104,"abundance_contrast_max","direct_joint_prevalence","Butyrate","Butyrate
104 tested pairs"
1,7,-0.264710225992747,104,"pln_score_percentile","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
2,7,0.38921931427322,104,"glmnet_score_percentile","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
3,7,-0.151324159752202,104,"sparcc_score_percentile","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
4,7,0.877409785781533,104,"direct_prevalence_min","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
5,7,0.57570530766479,104,"direct_prevalence_max","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
6,7,0.958824966258127,104,"direct_joint_prevalence","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
7,7,1,104,"direct_presence_jaccard","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
8,7,0.0807378699844741,104,"presence_phi_abs","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
9,7,-0.0371125111358872,104,"presence_log_odds_abs","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
10,7,-0.0528863721854031,104,"spearman_all_abs","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
11,7,-0.419318790255985,103,"spearman_copresent_abs","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
12,7,0.657548204023537,104,"log_ratio_variance","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
13,7,-0.0108557360699309,104,"abundance_contrast_min","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
14,7,-0.110355091930546,104,"abundance_contrast_max","direct_presence_jaccard","Butyrate","Butyrate
104 tested pairs"
1,8,0.219759726916978,104,"pln_score_percentile","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
2,8,-0.231995730943911,104,"glmnet_score_percentile","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
3,8,0.0475408087058572,104,"sparcc_score_percentile","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
4,8,-0.0335922580510194,104,"direct_prevalence_min","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
5,8,-0.111274583893098,104,"direct_prevalence_max","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
6,8,-0.0138876293235834,104,"direct_joint_prevalence","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
7,8,0.0807378699844741,104,"direct_presence_jaccard","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
8,8,1,104,"presence_phi_abs","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
9,8,0.979454119209735,104,"presence_log_odds_abs","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
10,8,0.657740317934493,104,"spearman_all_abs","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
11,8,0.149090629530378,103,"spearman_copresent_abs","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
12,8,-0.158871225861517,104,"log_ratio_variance","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
13,8,0.370895124293183,104,"abundance_contrast_min","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
14,8,0.354571641950283,104,"abundance_contrast_max","presence_phi_abs","Butyrate","Butyrate
104 tested pairs"
1,9,0.228366145075439,104,"pln_score_percentile","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
2,9,-0.245032845908183,104,"glmnet_score_percentile","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
3,9,0.0701328560743892,104,"sparcc_score_percentile","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
4,9,-0.155532273666752,104,"direct_prevalence_min","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
5,9,-0.125156397291199,104,"direct_prevalence_max","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
6,9,-0.120678755755214,104,"direct_joint_prevalence","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
7,9,-0.0371125111358872,104,"direct_presence_jaccard","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
8,9,0.979454119209735,104,"presence_phi_abs","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
9,9,1,104,"presence_log_odds_abs","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
10,9,0.677536628128712,104,"spearman_all_abs","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
11,9,0.184626789863624,103,"spearman_copresent_abs","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
12,9,-0.225922004077467,104,"log_ratio_variance","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
13,9,0.393255040461542,104,"abundance_contrast_min","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
14,9,0.40509766162874,104,"abundance_contrast_max","presence_log_odds_abs","Butyrate","Butyrate
104 tested pairs"
1,10,0.45912182131759,104,"pln_score_percentile","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
2,10,-0.194139113079184,104,"glmnet_score_percentile","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
3,10,0.294676197588819,104,"sparcc_score_percentile","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
4,10,-0.180681001178197,104,"direct_prevalence_min","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
5,10,-0.117117992983824,104,"direct_prevalence_max","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
6,10,-0.120848517790429,104,"direct_joint_prevalence","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
7,10,-0.0528863721854031,104,"direct_presence_jaccard","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
8,10,0.657740317934493,104,"presence_phi_abs","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
9,10,0.677536628128712,104,"presence_log_odds_abs","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
10,10,1,104,"spearman_all_abs","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
11,10,0.162061239731143,103,"spearman_copresent_abs","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
12,10,-0.150549450549451,104,"log_ratio_variance","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
13,10,0.592926490984743,104,"abundance_contrast_min","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
14,10,0.642995839112344,104,"abundance_contrast_max","spearman_all_abs","Butyrate","Butyrate
104 tested pairs"
1,11,0.240948687251694,103,"pln_score_percentile","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
2,11,-0.563991981836552,103,"glmnet_score_percentile","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
3,11,-0.00441505952642446,103,"sparcc_score_percentile","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
4,11,-0.376105477039347,103,"direct_prevalence_min","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
5,11,-0.477785625118568,103,"direct_prevalence_max","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
6,11,-0.491841369226302,103,"direct_joint_prevalence","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
7,11,-0.419318790255985,103,"direct_presence_jaccard","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
8,11,0.149090629530378,103,"presence_phi_abs","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
9,11,0.184626789863624,103,"presence_log_odds_abs","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
10,11,0.162061239731143,103,"spearman_all_abs","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
11,11,1,103,"spearman_copresent_abs","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
12,11,-0.554276677063656,103,"log_ratio_variance","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
13,11,0.1754382111321,103,"abundance_contrast_min","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
14,11,0.194515222070905,103,"abundance_contrast_max","spearman_copresent_abs","Butyrate","Butyrate
104 tested pairs"
1,12,-0.273671676555654,104,"pln_score_percentile","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
2,12,0.650412391514479,104,"glmnet_score_percentile","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
3,12,-0.0723354315587325,104,"sparcc_score_percentile","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
4,12,0.528272697019023,104,"direct_prevalence_min","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
5,12,0.691971508300372,104,"direct_prevalence_max","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
6,12,0.775914601531839,104,"direct_joint_prevalence","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
7,12,0.657548204023537,104,"direct_presence_jaccard","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
8,12,-0.158871225861517,104,"presence_phi_abs","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
9,12,-0.225922004077467,104,"presence_log_odds_abs","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
10,12,-0.150549450549451,104,"spearman_all_abs","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
11,12,-0.554276677063656,103,"spearman_copresent_abs","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
12,12,1,104,"log_ratio_variance","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
13,12,-0.0152352501867065,104,"abundance_contrast_min","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
14,12,-0.0636829190227248,104,"abundance_contrast_max","log_ratio_variance","Butyrate","Butyrate
104 tested pairs"
1,13,0.293371947095534,104,"pln_score_percentile","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
2,13,-0.055694197399459,104,"glmnet_score_percentile","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
3,13,0.233073722394111,104,"sparcc_score_percentile","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
4,13,-0.112847903103257,104,"direct_prevalence_min","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
5,13,-0.00511569829318195,104,"direct_prevalence_max","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
6,13,-0.0348284457258364,104,"direct_joint_prevalence","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
7,13,-0.0108557360699309,104,"direct_presence_jaccard","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
8,13,0.370895124293183,104,"presence_phi_abs","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
9,13,0.393255040461542,104,"presence_log_odds_abs","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
10,13,0.592926490984743,104,"spearman_all_abs","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
11,13,0.1754382111321,103,"spearman_copresent_abs","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
12,13,-0.0152352501867065,104,"log_ratio_variance","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
13,13,1,104,"abundance_contrast_min","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
14,13,0.708919236103702,104,"abundance_contrast_max","abundance_contrast_min","Butyrate","Butyrate
104 tested pairs"
1,14,0.25386262484217,104,"pln_score_percentile","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
2,14,-0.110294985476476,104,"glmnet_score_percentile","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
3,14,0.253547423450336,104,"sparcc_score_percentile","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
4,14,-0.189064325191568,104,"direct_prevalence_min","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
5,14,-0.0641417330581444,104,"direct_prevalence_max","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
6,14,-0.123564154872912,104,"direct_joint_prevalence","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
7,14,-0.110355091930546,104,"direct_presence_jaccard","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
8,14,0.354571641950283,104,"presence_phi_abs","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
9,14,0.40509766162874,104,"presence_log_odds_abs","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
10,14,0.642995839112344,104,"spearman_all_abs","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
11,14,0.194515222070905,103,"spearman_copresent_abs","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
12,14,-0.0636829190227248,104,"log_ratio_variance","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
13,14,0.708919236103702,104,"abundance_contrast_min","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
14,14,1,104,"abundance_contrast_max","abundance_contrast_max","Butyrate","Butyrate
104 tested pairs"
1,1,NA,989,"pln_score_percentile","pln_score_percentile","Carlström","Carlström
989 tested pairs"
2,1,NA,989,"glmnet_score_percentile","pln_score_percentile","Carlström","Carlström
989 tested pairs"
3,1,NA,989,"sparcc_score_percentile","pln_score_percentile","Carlström","Carlström
989 tested pairs"
4,1,NA,989,"direct_prevalence_min","pln_score_percentile","Carlström","Carlström
989 tested pairs"
5,1,NA,989,"direct_prevalence_max","pln_score_percentile","Carlström","Carlström
989 tested pairs"
6,1,NA,989,"direct_joint_prevalence","pln_score_percentile","Carlström","Carlström
989 tested pairs"
7,1,NA,989,"direct_presence_jaccard","pln_score_percentile","Carlström","Carlström
989 tested pairs"
8,1,NA,989,"presence_phi_abs","pln_score_percentile","Carlström","Carlström
989 tested pairs"
9,1,NA,989,"presence_log_odds_abs","pln_score_percentile","Carlström","Carlström
989 tested pairs"
10,1,NA,989,"spearman_all_abs","pln_score_percentile","Carlström","Carlström
989 tested pairs"
11,1,NA,865,"spearman_copresent_abs","pln_score_percentile","Carlström","Carlström
989 tested pairs"
12,1,NA,989,"log_ratio_variance","pln_score_percentile","Carlström","Carlström
989 tested pairs"
13,1,NA,969,"abundance_contrast_min","pln_score_percentile","Carlström","Carlström
989 tested pairs"
14,1,NA,969,"abundance_contrast_max","pln_score_percentile","Carlström","Carlström
989 tested pairs"
1,2,NA,989,"pln_score_percentile","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
2,2,1,989,"glmnet_score_percentile","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
3,2,0.134314263228945,989,"sparcc_score_percentile","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
4,2,0.0739732976773838,989,"direct_prevalence_min","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
5,2,0.0692460424307795,989,"direct_prevalence_max","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
6,2,0.0831145497386836,989,"direct_joint_prevalence","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
7,2,0.0732854284545518,989,"direct_presence_jaccard","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
8,2,-0.0430854783605835,989,"presence_phi_abs","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
9,2,0.0162376925522494,989,"presence_log_odds_abs","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
10,2,0.122922436292108,989,"spearman_all_abs","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
11,2,0.0920243244920134,865,"spearman_copresent_abs","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
12,2,0.0777313617811099,989,"log_ratio_variance","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
13,2,0.0245924385962667,969,"abundance_contrast_min","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
14,2,-0.0207596795700765,969,"abundance_contrast_max","glmnet_score_percentile","Carlström","Carlström
989 tested pairs"
1,3,NA,989,"pln_score_percentile","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
2,3,0.134314263228945,989,"glmnet_score_percentile","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
3,3,1,989,"sparcc_score_percentile","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
4,3,0.256354003374785,989,"direct_prevalence_min","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
5,3,0.173248483473982,989,"direct_prevalence_max","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
6,3,0.258695486923258,989,"direct_joint_prevalence","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
7,3,0.252979387498752,989,"direct_presence_jaccard","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
8,3,-0.0402511455203758,989,"presence_phi_abs","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
9,3,0.0927433113420241,989,"presence_log_odds_abs","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
10,3,0.416558981390542,989,"spearman_all_abs","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
11,3,0.0279834195320219,865,"spearman_copresent_abs","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
12,3,0.150231406966014,989,"log_ratio_variance","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
13,3,0.268538475269939,969,"abundance_contrast_min","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
14,3,0.235828022085962,969,"abundance_contrast_max","sparcc_score_percentile","Carlström","Carlström
989 tested pairs"
1,4,NA,989,"pln_score_percentile","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
2,4,0.0739732976773838,989,"glmnet_score_percentile","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
3,4,0.256354003374785,989,"sparcc_score_percentile","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
4,4,1,989,"direct_prevalence_min","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
5,4,0.437994244444135,989,"direct_prevalence_max","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
6,4,0.953470053073766,989,"direct_joint_prevalence","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
7,4,0.961583304612456,989,"direct_presence_jaccard","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
8,4,-0.231817658922829,989,"presence_phi_abs","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
9,4,-0.00561951416527552,989,"presence_log_odds_abs","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
10,4,-0.0183355109050169,989,"spearman_all_abs","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
11,4,-0.366090425617231,865,"spearman_copresent_abs","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
12,4,0.494316567549043,989,"log_ratio_variance","direct_prevalence_min","Carlström","Carlström
989 tested pairs"
